word,Anxious,Depressed,Happy,Introvert,Stable,bio_frequency,km_half_life_days,lognormal_half_life_days,lognormal_mu,lognormal_sigma,prev1,prev2,unique_users
esl,42.83289002218894,38.59779589658028,66.0168287163605,73.6823301508335,54.13153433086077,99.0,389.0,351.12,5.861132,1.898408,1.0570631392948215,1.406557198697575,83.0
eso,59.94989255525496,58.33334461933002,60.386390236839794,58.83730159341788,38.5515192583856,133.0,111.0,132.99,4.890293,1.921245,0.3523543797649405,0.6993930822253134,114.0
esoteric,45.8425846959186,56.49356866156416,48.89228071829537,81.3786003944305,46.93775471405687,73.0,273.0,242.12,5.489441,1.928576,0.5611569751812016,0.629453774002782,64.0
esp,50.510963797783326,54.25349170389998,57.9258358729814,67.07411949635305,55.3148686996662,498.0,241.0,259.74,5.559682,1.952957,2.2185275762977734,2.517815096011128,449.0
espanol,58.2474635078264,47.549940958992536,79.55685017072884,58.46501965216897,78.04863040543208,50.0,372.0,271.1,5.602479,2.096192,0.2479530820568099,0.1476496506920106,47.0
especial,65.28515023670832,55.76889578583148,97.068162692441,35.62567437075884,79.93853746657467,46.0,87.0,132.82,4.889032,2.716204,0.0913511354946142,0.0777103424694792,36.0
especialista,64.28647966437079,26.25768854255378,99.94906909550429,37.74522659904188,76.16775157391513,82.0,1295.0,1440.34,7.272636,2.791578,0.0391504866405489,0.202046890420646,71.0
especially,48.04917783917829,50.702519471435245,63.22576650640368,64.33850295219852,60.65586713602456,1898.0,284.0,279.69,5.633689,1.992601,13.898422757394874,10.483125199132752,1805.0
espn,30.939668668277815,25.948912679131176,69.52253493864755,45.78157648747477,76.09776068870471,2008.0,436.0,402.16,5.996859,1.899679,11.888697776513364,8.361632849715969,1471.0
espn3,28.979449931255918,26.373837163003017,81.0850304497287,48.85019652907416,82.8247715594933,54.0,246.0,245.42,5.502953,1.743328,0.4437055152595546,0.1631917191859064,39.0
espnu,32.819416897346,23.789118841601987,58.96922002716113,33.73758000047365,65.91822198624303,38.0,373.0,275.63,5.619075,1.634996,0.2740534064838426,0.0699393082225313,33.0
esport,22.48731007145456,26.79932692488239,46.39425791087036,57.25374149385903,38.78465420263987,38.0,260.0,193.32,5.264351,1.785413,0.1174514599216468,0.2409020616553857,34.0
esportes,22.5806639711556,56.71187122481835,89.12113431255207,63.95185363213574,82.79380188550593,38.0,424.0,462.95,6.137614,2.351433,0.0130501622135163,0.0310841369877917,30.0
esports,30.922012321481667,35.48375214067975,43.77958303287325,65.78383216646941,43.55849681586068,1026.0,285.0,279.49,5.632969,1.782226,4.763309207933455,11.151434144370274,634.0
esposa,79.30808530810167,47.53773744741579,88.17694015221105,39.14800231043584,70.9498250130915,71.0,402.0,367.09,5.9056,2.058957,0.3262540553379078,0.2409020616553857,60.0
esposo,57.46947858739647,28.354094289426897,83.65631905564743,65.24040493918031,68.75294451984274,75.0,1334.0,1032.07,6.939319,2.119002,0.3001537309108752,0.2486730959023336,63.0
espresso,53.41011691749002,50.986532898152426,54.83105631469744,66.81182078416118,54.91883750486989,165.0,311.0,335.1,5.814432,2.075202,1.6312702766895393,1.1345710000543971,142.0
esq,50.79753919801584,52.40653983725966,56.10392983453961,57.75649193332698,64.10452309031234,100.0,329.0,320.54,5.770002,2.1769,0.6786084351028483,0.6993930822253134,88.0
esquire,45.98350031793501,49.23025950280582,48.82836919506165,55.111271001298114,46.00234605062602,109.0,376.0,344.5,5.842081,1.692318,1.2267152480705334,0.8936689383990115,91.0
essa,47.88375086117637,49.37821105484211,83.18238467763453,69.88564134787914,70.49503726992987,57.0,101.0,148.17,4.998387,2.436641,0.0391504866405489,0.1476496506920106,54.0
essay,44.76752416973732,54.2638165086474,56.521645130092345,83.61075787405508,48.075692804644135,101.0,179.0,154.84,5.042412,1.61862,0.4437055152595546,0.6605379109905737,87.0
essayist,53.19099499153007,62.14416889983272,46.684467270123015,82.48201518655412,35.5089960587628,278.0,248.0,231.7,5.445454,1.933834,1.2006149236435009,1.150113068548293,204.0
essays,51.852053142146126,56.152555062633546,51.89590908404538,87.00882519724354,33.636587297462505,309.0,230.0,224.29,5.412919,1.662347,1.2006149236435009,1.6863144315877,260.0
