Word,Happy,Stable,Introvert,Anxious,Depressed
rednation,0.9039976278468855,0.8820610214348112,0.49257366630664134,0.9883406489006974,0.9946652287328996
congressman,0.5738299550561812,0.3867017297601434,0.6066687423279609,0.8473476648420422,0.8320529625860358
jewels,0.7433572769258174,0.9442635552061163,0.9722243906784747,0.9527920893338779,0.9524503565685958
slavery,0.9977083161290239,0.9579514202966892,0.7728467952327163,0.7461596494432665,0.9435166630391025
doggies,0.9316100426671079,0.8994243951953325,0.7732170819571924,0.8091413302489527,0.8670734808609777
streamer,0.4444916830454946,0.122816324109835,0.14130393514904327,0.005954306257828446,0.48561356002806066
migration,0.8685661206592961,0.9335225823956548,0.5454143986379234,0.9000946495191269,0.7691643278489837
lives,0.03858700054060327,0.016322597648073867,0.03871986642960912,0.24502679204626499,0.13556958178745848
♉,0.0706224168288927,0.10049363605529793,0.13641358908780732,0.03504526751011516,0.1211242595956723
✉,0.9642870168587541,0.82059397727386,0.5724978782331673,0.8637866894872757,0.7478551384485486
snow,0.6931831795167576,0.7242932212093924,0.648839572063336,0.7643034039513559,0.9386953949724213
mcsweeneys,0.8885658385561461,0.7457374207743803,0.7126204165794228,0.9409229352943749,0.7904018293363795
disciples,0.04339452633063434,0.040072697868678286,0.23924312305063045,0.3742339210225749,0.4417638802147492
ᵛ,0.8549054603945738,0.9220426539246991,0.8510763590415702,0.7772954827473317,0.8540601875477074
kicking,0.7561714893676226,0.7531246300951411,0.9265755489020753,0.868939334070804,0.8558424896653629
majors,0.6728954668164651,0.5799446821270435,0.9120157296041462,0.9393528899920243,0.7950210667660558
lake,0.03688751270844515,0.024442256239631588,0.32968034972455285,0.24253116827469423,0.232783246695615
ufo,0.8561880057519644,0.834397385170089,0.7888632072439719,0.7703605140711147,0.964081202430257
abused,0.9044047412309153,0.7198821631513352,0.417457663176243,0.9180064237188743,0.9604053418212755
22,5.812716287434405e-05,9.082986551467442e-05,0.005275822620266268,0.003116472086943878,0.13096470813475403
peabody,0.7136169401533283,0.8829564058425969,0.689385485526016,0.9011197811250573,0.9105739937190045
heels,0.6471423235330596,0.48344592659143304,0.7030197407627363,0.8494136986747252,0.780004471540156
pxp,0.4952527275209633,0.40581205298802847,0.9584493682479274,0.3012702329491834,0.21233596869773397
smarturl,0.20217509536413303,0.41188187657388386,0.17644775546023395,0.6138776557247183,0.5241176315817397
congressional,0.37077580635415575,0.19672131476121946,0.32046577362739415,0.6525358685906446,0.6672385930560416
》,0.7435657097342081,0.564990644873681,0.5321473023485235,0.7006259903169605,0.6080978080846293
papi,0.6484698020142916,0.6145715495312403,0.3867814135851382,0.9225915318677154,0.9909089606903905
camping,0.3580195130262558,0.32687055114369135,0.34786814469340044,0.8030515926126389,0.9587780449233434
london,0.6836148397163078,0.7110517588873724,0.9207369152978977,0.9505553105995304,0.8655270380282065
paradox,0.8444000743715898,0.8748457033308858,0.9000462951346622,0.9737970772413267,0.8683718989899454
interface,0.9499101713525218,0.9531432157550841,0.34906288035464916,0.7607202146734617,0.8805544982895155
dunno,0.7534515506270245,0.6629915645812661,0.9185317580654457,0.9778981872890964,0.7921690713530243
lunatic,0.783028859918995,0.8722194148945634,0.8837504789610595,0.9893547976448942,0.8085031014737929
encourager,0.31268170063110157,0.1630408078939154,0.23878959303752945,0.6443272398774023,0.5450287243206366
